bookID,author
208,Richard North Patterson
209,Danielle Steel
210,Emily Bronte
211,Sidney Sheldon
212,Robin Cook
213,Frank E. Peretti
214,Meg Cabot
215,Judith Guest
216,John Grisham
217,Blanche Fisher Wright
218,Dean R. Koontz
219,Barbara Michaels
220,Norton Juster
221,Richard North Patterson
222,Chuck Palahniuk
223,Nicholas Evans
224,Milan Kundera
225,Charles Bukowski
226,Frances Hodgson  Burnett
227,Iris Johansen
228,Linda Howard
229,Belva Plain
230,Belva Plain
231,Sheri S. Tepper
232,Mark Helprin
233,William Trevor
234,Alice Walker
235,Ralph Ellison
236,Isabel Allende
237,Isabel Allende
238,Jhumpa Lahiri
239,Charles Sullivan
240,Diana Gabaldon
241,David Sedaris
242,Zadie Smith
243,John Steinbeck
244,James Patterson
245,Stephen King
246,Stephen Chbosky
247,Elizabeth Laird
248,Isabel Allende
249,H. P. Lovecraft
250,Neil Gaiman
251,Arthur C. Clarke
252,Peter Matthiessen
253,Thomas Harris
254,Michael Crichton
255,Fern Michaels
256,Marilynn Robinson
257,Amanda Scott
258,Neil Gaiman
259,Colleen Mccullough
260,Laurie R. King
261,Louise Erdrich
262,Melinda Haynes
263,Carol Shields
264,Tim Powers
265,Darrell Scott
266,Charles Bukowski
267,James Herbert
268,Chuck Palahniuk
269,Dick Francis
270,Rita Mae Brown
271,Cornelia Funke
272,Robert A. Heinlein
273,James Mcbride
274,Anne Mccaffrey
275,Anne Mccaffrey
276,Piers Anthony
277,Larry Mcmurtry
278,John Irving
279,Rachel Cohn
280,Umberto Eco
281,Greg Bear
282,Neil Gaiman
283,Kathy Reichs
284,Nevada Barr
285,Martin Cruz Smith
286,Anne Lamott
287,Bret Lott
288,Salman Rushdie
289,John Irving
290,Kahlil Gibran
291,Tess Gerritsen
292,Olive Ann Burns
293,Betty Smith
294,Michael Ende
295,Steve Martin
296,Banana Yoshimoto
297,Edwidge Danticat
298,Joe R. Lansdale
299,Arturo Perez-Reverte
300,Saul Bellow
301,J.R.R. Tolkien
302,Laurie Halse Anderson
303,John Grisham
304,Judy Blume
305,Robert T. Bakker
306,Randall Wallace
307,Tom Robbins
308,Mary Higgins Clark
309,Jonathan Harr
310,Jennifer Crusie
311,Kristin Hannah
312,Luanne Rice
313,Ayn Rand
314,Nicholas Evans
315,Jane Austen
316,Jennifer Weiner
317,Elmore Leonard
318,Jane Austen
319,Margaret Atwood
320,Raymond Chandler
321,Mary Higgins Clark
322,Kaye Gibbons
323,Daphne Du Maurier
324,Fannie Flagg
325,Anne Lamott
326,Roald Dahl
327,Douglas Preston
328,Kim Stanley Robinson
329,Stephen King
330,Marian Keyes
331,Meg Cabot
332,Lori Handeland
333,Dave Eggers
334,Oscar Wilde
335,Sebastian Faulks
336,Richard George Adams
337,Kurt Vonnegut
338,Sandor Marai
339,Kay Hooper
340,Kay Hooper
341,Peter Mayle
342,Douglas Kennedy
343,Lynne Reid Banks
344,James Patterson
345,Dan Simmons
346,Janet Evanovich
347,Terry Brooks
348,Patrick Mcgrath
349,Mark Richard
350,Ben Elton
351,Mary Doria Russell
352,Victor Hugo
353,Jennifer Egan
354,Dodie Smith
355,R. A. Macavoy
356,Bebe Moore Campbell
357,Erica Jong
358,Patricia Daniels Cornwell
359,Catholic Church
360,C. S. Lewis
361,Salman Rushdie
362,Thomas Pynchon
363,Thomas Pynchon
364,Ron L. Hubbard
365,Laurie Lee
366,Sam Siciliano
367,Leon Uris
368,Anatoli Boukreev
369,William Gerald Golding
370,Clive Cussler
371,Caleb Carr
372,Bill Bryson
373,David Eddings
374,Belva Plain
375,Jon Krakauer
376,M. M. Kaye
377,Sharon Creech
378,Patricia Daniels Cornwell
379,Barbara Kingsolver
380,Terry Mcmillan
381,Don Lassiter
382,Isaac Bashevis Singer
383,Robin Cook
384,Daniel Hecht
385,Patricia Daniels Cornwell
386,Michael Crichton
387,James Patterson
388,Jeffrey Archer
389,Jonathan Kellerman
390,Robert Charles Wilson
391,Gilles Deleuze
392,Jude Deveraux
393,Graham Greene
394,Kurt Vonnegut
395,Francesca Lia Block
396,Andrew Pyper
397,Garrison Keillor
398,Susan Vreeland
399,Anne Mccaffrey
400,Anne Mccaffrey
401,Alice Hoffman
402,Michael Crichton
403,Michael Chabon
404,Anne Mccaffrey
405,Ross King
406,Iain Pears
407,David Baldacci
408,Virginia Woolf
409,Michael Connelly
410,Margaret Atwood
411,Jonathan Kellerman
412,James Rollins
413,John Updike
414,Lilian Jackson Braun
415,Lilian Jackson Braun
416,Agatha Christie
417,Tiffanie Debartolo
418,Margaret Atwood
419,Daniel Quinn
420,Umberto Eco
421,Jeanette Winterson
422,Dean R. Koontz
423,John Saul
424,Dean R. Koontz
425,Julie Garwood
426,Madeleine L'Engle
427,Vilhelm Moberg
428,Orson Scott Card
429,Edith Wharton
430,Michael Moorcock
431,Louise Erdrich
432,Chitra Banerjee Divakaruni
433,Neal Stephenson
434,Hermann Hesse
435,Louise Erdrich
436,Irvine Welsh
437,David Baldacci
438,Wynema Mcgowan
439,Jayne Castle
440,Octavia E. Butler
441,George Orwell
442,Ken Follett
443,Orson Scott Card
444,Marion Zimmer Bradley
445,Holly Black
446,Linda Howard
447,Jean Craighead George
448,June Stepansky
449,Philip Roth
450,Mark Twain
451,Naomi Ragen
452,Orson Scott Card
453,Tom Robbins
454,Barbara Taylor Bradford
455,Richard Dawkins
456,Michael Crichton
457,Mary Higgins Clark
458,Michael Shaara
459,Stephen King
460,Robin Mckinley
461,Sigmund Freud
462,William Shakespeare
463,Buzz Aldrin
464,Anne Tyler
465,Sarah Louise Delany
466,Harlan Coben
467,Sue Townsend
468,Mark Twain
469,Gary Devon
470,William Shakespeare
471,John Le Carre
472,Dennis Lehane
473,Terry Pratchett
474,Terry Pratchett
475,Greg Iles
476,James Patterson
477,Richard Bachman
478,Marian Keyes
479,Carl Hiaasen
480,Douglas Preston
481,Michael Crichton
482,Dean Koontz
483,Ken Follett
484,Michael Connelly
485,Michael Crichton
486,Tom Robbins
487,John Grisham
488,Richard Flanagan
489,Paulo Coelho
490,Shirley Maclaine
491,Shakti Gawain
492,Richard Bach
493,Richard Bach
494,Helen Fielding
495,Paulo Coelho
496,Shel Silverstein
497,Anne Rice
498,Nancy Farmer
499,Nick Hornby
500,Sark
501,Bret Easton Ellis
502,Alice Walker
503,Danielle Steel
504,Greg Egan
505,Agatha Christie
506,Agatha Christie
507,Agatha Christie
508,Hermann Hesse
509,Nicholas Sparks
510,Nora Roberts
511,Judith Kelman
512,John Jakes
513,Jack Mcdevitt
514,Paulo Coelho
515,Terry Pratchett
516,Leo Marks
517,Mary Higgins Clark
518,Azar Nafisi
519,Leif Enger
520,Tami Hoag
521,H. G. Wells
522,Jules Verne
523,Nora Roberts
524,Claire Delacroix
525,Pamela Britton
526,Madeline Hunter
527,Lisa Kleypas
528,Danielle Steel
529,W. Stone
530,Lilian Jackson Braun
531,Nora Roberts
532,Fannie Flagg
533,Catherine Ryan Hyde
534,Dorothy Allison
535,Bruce Sterling
536,Morgan Llywelyn
537,Elizabeth Moon
538,William Gibson
539,Starhawk
540,Fiona Horne
541,Steve Alten
542,Robert Asprin
543,Dave Barry
544,Nalo Hopkinson
545,Cynthia Voigt
546,Cynthia Voigt
547,Dean R. Koontz
548,Stella Gibbons
549,Tom Robbins
550,James Patterson
551,Toni Morrison
552,R.A. Salvatore
553,Robin Cook
554,Rita Mae Brown
555,Dale Banks
556,Stephen King
557,Roger Zelazny
558,Raymond E. Feist
559,Ron Hansen
560,Patricia Daniels Cornwell
561,Jennifer Donnelly
562,Johanna Lindsey
563,Dean R. Koontz
564,Dean Koontz
565,Dean R. Koontz
566,Dean R. Koontz
567,Bram Stoker
568,Tom Clancy
569,Dick Francis
570,Amy Tan
571,Mark Merlis
572,Chitra Banerjee Divakaruni
573,Amy Tan
574,Patrick A. Davis
575,Victoria Christopher Murray
576,Ayn Rand
577,Richard Paul Evans
578,Wally Lamb
579,Hannah Hurnard
580,Judy Mercer
581,Sandra Brown
582,Kurt Vonnegut
583,Joseph Heller
584,Elizabeth George
585,Vince Flynn
586,Susanna Kaysen
587,Andrei Codrescu
588,Belva Plain
589,Anne Mccaffrey
590,Mary Rinehart
591,Sapphire
592,Misty Bernall
593,Alan Garner
594,Robert Fisher
595,Jane Smiley
596,John Katzenbach
597,Nora Roberts
598,Nora Roberts
599,Haruki Murakami
600,Connie Willis
601,Orson Scott Card
602,Jean Giono
603,Joanne Harris
604,P.G. Wodehouse
605,Dorothy Leigh Sayers
606,Anita Brookner
607,Robert Mcliam-Wilson
608,James Alexander Thom
609,Linda Howard
610,Hermann Hesse
611,John Grisham
612,James A. Michener
613,Linda Lay Shuler
614,Tom Clancy
615,Charlotte Bronte
616,Emma Donoghue
617,James Herriot
618,William S. Burroughs
619,William Shakespeare
620,C. S. Lewis
621,Terry Pratchett
622,Richard Bach
623,J. R. R. Tolkien
624,Roald Dahl
625,Judy Blume
626,David Sedaris
627,Kurt Vonnegut
628,Isaac Asimov
629,Edith Wharton
630,Anne Mccaffrey
631,Dossie Easton
632,Alice Walker
633,Oscar Hijuelos
634,Toni Morrison
635,Carlos Ruiz Zafon
636,Carson Mccullers
637,Toni Morrison
638,Octavia E. Butler
639,Douglas Coupland
640,Tom Stoppard
641,Cornel West
642,Philip K. Dick
643,Alice Sebold
644,Christina Dodd
645,Stephanie Laurens
646,Erik Quisling
647,Dai Sijie
648,Hampton Sides
649,Tami Hoag
650,Stephen King
651,Ann Rule
652,Dean R. Koontz
653,Jacques Prevert
654,Thomas Block
655,J. M. Coetzee
656,Nathaniel Philbrick
657,Emma Donoghue
658,Penina Keen Spinka
659,Ernest J. Gaines
660,Isak Dinesen
661,Lawrence Block
662,Erica Spindler
663,Jacqueline Carey
664,Lalita Tademy
665,R. A. Forster
666,Tess Gerritsen
667,Stephen Dobyns
668,Kasey Michaels
669,Bruce Robinson
670,Louis Sachar
671,Scott Turow
672,Michael Connelly
673,Elie Wiesel
674,Peter Benchley
675,Sir Arthur Conan Doyle
676,J. D. Robb
677,Diana Wynne Jones
678,Frances Hodgson Burnett
679,Richard Erdoes
680,Arthur C. Clarke
681,Vincent Bugliosi
682,Dr. Seuss
683,Robbins
684,Jared Diamond
685,Stephen King
686,Tracy Chevalier
687,John Dufresne
688,Scott Cunningham
689,Stephen King
690,Ray Bradbury
691,Marguerite Duras
692,Par Lagerkvist
693,Jo Ann Beard
694,Jean M. Auel
695,Anne Mccaffrey
696,Stephen King
697,Kathy Reichs
698,Danielle Steel
699,L. Ron Hubbard
700,Hogan P.
701,C. J. Cherryh
702,Anonymous
703,Danielle Steel
704,Nicholas Sparks
705,F. Scott Fitzgerald
706,Donna Leon
707,J. K. Rowling
708,J. K. Rowling
709,Neil Gaiman
710,Bill Watterson
711,Bill Watterson
712,Jan Siegel
713,Washington Irving
714,Susan Cooper
715,Susan Cooper
716,Susan Cooper
717,Robin Mckinley
718,Cristina Garcia
719,G. C. Barrett
720,Louisa M. Atcott
721,Carlos Collodi
722,Jonathan Tropper
723,Danielle Steel
724,Sandra Brown
725,Jude Deveraux
726,Danielle Steel
727,Stan Redding
728,Maeve Binchy
729,Robert Ludlum
730,Teresa Medeiros
731,Teresa Medeiros
732,James Lee Burke
733,Louise Erdrich
734,Frances Mayes
735,J.A. Jance
736,Nevada Barr
737,Julie Garwood
738,Tom Clancy
739,Stephen King
740,Owen Parry
741,Malcolm Gladwell
742,Mihaly Csikszentmihalyi
743,Sally Beauman
744,Stephen White
745,Peter Singer
746,W. Y. Evans-Wentz
747,Johanna Spyri
748,Aldous Huxley
749,E.M. Forster
750,Isabel Allende
751,Pat Conroy
752,Ann Patchett
753,Pete Hamill
754,Sophie Kinsella
755,Lois Lowry
756,Edith Wharton
757,Alfred Doblin
758,Dean R. Koontz
759,Judy Blume
760,Wally Lamb
761,Robert James Waller
762,Florence King
763,George Orwell
764,Gary Paulsen
765,Niccolo Ammaniti
766,Scott O'Dell
767,E. B. White
768,Edith Nesbit
769,Anne Tyler
770,Hannah Crafts
771,Nick Hornby
772,David Halberstam
773,David Suzuki
774,John Connolly
775,Ian Rankin
776,Dorothy L. Sayers
777,Barbara Kingsolver
778,Viktor E. Frankl
779,Mario Puzo
780,Mario Puzo
781,Augusten Burroughs
782,Gore Vidal
783,Mark Z. Danielewski
784,Elizabeth George
785,Jim Collins
786,China Mieville
787,Elmore Leonard
788,Andrew Klavan
789,Lloyd Alexander
790,Anne Tyler
791,Peter Carey
792,Oscar Wilde
793,Vladimir Nabokov
794,Luther Blissett
795,J. D. Salinger
796,Michael Palmer
797,Christopher Pike
798,F. Scott Fitzgerald
799,Jan Burke
800,Carl Hiaasen
801,Nicci French
802,Nora Roberts
803,William Diehl
804,Elmore Leonard
805,Belva Plain
806,Jack Welch
807,Andre Dubus Iii
808,Gary Paulsen
809,David Baldacci
810,Robert Crais
811,Katie Fforde
812,Jude Deveraux
813,Erich Segal
814,Nick Hornby
815,Robert N. Munsch
816,S. E. Hinton
817,Joy Adamson
818,Salman Rushdie
819,Douglas Adams
820,Lloyd Alexander
821,Sheri S. Tepper
822,Amy Thomson
823,David Clement-Davies
824,Mirika Mayo Cornelius
825,William Carlos Williams
826,Sharon Kay Penman
827,Sheri Reynolds
828,Gloria Murphy
829,Donald Thomas
830,Benedict Freedman
831,Luanne Rice
832,Catherine Anderson
833,Ian Mcewan
834,Camilo Jose Cela
835,Marlo Morgan
836,Vicki Lewis Thompson
837,Oliver W. Sacks
838,Douglas Coupland
839,Alex Garland
840,Walter Kirn
841,Wendy Corsi Staub
842,Tim O'Brien
843,Laurie R. King
844,Neil Gaiman
845,Anita Desai
846,W. P. Kinsella
847,Kathe Koja
848,Michael Crichton
849,Joy Fielding
850,Joy Fielding
851,Susan Minot
852,Charlotte Vale Allen
853,Eduardo H. Galeano
854,Judith Hawkes
855,Melvin Burgess
856,Jonathan Franzen
857,Gabriel Garcia Marquez
858,Elizabeth Berg
859,Russell Banks
860,Rebecca Wells
861,Toni Goffe
862,Will Self
863,Richard North Patterson
864,Umberto Eco
865,Terry Mcmillan
866,Daniel Silva
867,Daniel Silva
868,Elizabeth Peters
869,Robert Harris
870,Philip K. Dick
871,Nevil Shute
872,Kurt Vonnegut
873,Piers Anthony
874,Stephen King
875,Piers Anthony
876,Anthony
877,Lisa Scottoline
878,Christopher Fowler
879,Hermann Hesse
880,Dean R. Koontz
881,Robert Charles Wilson
882,Peter F. Hamilton
883,Frederick Forsyth
884,Nick Hornby
885,Nora Ephron
886,Anne Tyler
887,Amanda Quick
888,Diana Gabaldon
889,Lisa Carey
890,Legs Mcneil
891,Julian Barnes
892,Neil Postman
893,Kristin Hannah
894,Cathleen Schine
895,Francine Prose
896,Anna Quindlen
897,Terry Brooks
898,Ruby Jensen
899,Jerry Spinelli
900,J.A. Jance
901,Elizabeth Von Arnim
902,Dorothy L. Sayers
903,Jeffrey Archer
904,T. Jefferson Parker
905,Kathy Reichs
906,Gary Braver
907,James Patterson
908,Jon Scieszka
909,Lee Child
910,A. Verghese
911,Marian Keyes
912,Greg Iles
913,Claire Cook
914,Joanne Harris
915,Erik Larson
916,Antoine De Saint-Exupã©Ry
917,Greg Bear
918,Richard Matheson
919,Dalai Lama
920,Andrew H. Vachss
921,Catherine Millet
922,Rosamunde Pilcher
923,Laurel Collins
924,Sandra Brown
925,Joyce Carol Oates
926,Maeve Brennan
927,John Eldredge
928,Colin Forbes
929,Isaac Asimov
930,Irvine Welsh
931,Walter Dean Myers
932,Jorge Amado
933,Anne Morrow Lindbergh
934,John Steinbeck
935,Shmuel Boteach
936,Agatha Christie
937,Melanie Rawn
938,Vikram Seth
939,Peter Heg
940,Geraldine Brooks
941,Rita Golden Gelman
942,F. Paul Wilson
943,John Steinbeck
944,Katie Macalister
945,Lisa Kleypas
946,Iris Johansen
947,Edith Wharton
948,Sophie Kinsella
949,Nadine Gordimer
950,Nadine Gordimer
951,E. M. Forster
952,John Hersey
953,Charles Dickens
954,Patricia Nell Warren
955,Jess Stearn
956,Louisa May Alcott
957,Maeve Binchy
958,Virginia Woolf
959,Kevin Leman
960,Christopher Moore
961,T. H. White
962,Connie Willis
963,Kirsty Gunn
964,Will Self
965,Joanne Harris
966,T. De Quincey
967,Eliyahu M. Goldratt
968,John Irving
969,Dick Francis
970,Eckhart Tolle
971,Brother Lawrence
972,William Gibson
973,Herman Melville
974,Whitley Strieber
975,Dean R. Koontz
976,Lilian Jackson Braun
977,Stephen King
978,Witi Tame Ihimaera
979,Melinda Blanchard
980,Martin Cruz Smith
981,Erich Segal
982,Agatha Christie
983,Adam Barrow
984,V.C. Andrews
985,Nicholas Sparks
986,Maeve Binchy
987,Alex Flinn
988,Wilbur Smith
989,James A. Michener
990,Paulo Coelho
991,Chris Hedges
992,Fã?Â©Dor Dostoã?Â¯Evski
993,John Grisham
994,John Saul
995,Ken Follett
996,Matt Ridley
997,Mario Puzo
998,Paula Danziger
999,David Baldacci
1000,Charles Dickens
1001,Sidney Sheldon
1002,Eudora Welty
1003,Lois Keith
1004,Chaim Potok
1005,Jeffrey Eugenides
1006,Jerry Spinelli
1007,Stephen Fry
1008,Fiona Walker
1009,John Le Carre
1010,Jude Deveraux
1011,Charles Frazier
1012,Edward Abbey
1013,Jackie Collins
1014,Maeve Binchy
1015,Anne Lamott
1016,Margaret Atwood
1017,Heather Graham
1018,Nora Roberts
1019,Suzanne Brockmann
1020,Tami Hoag
1021,Maggie Shayne
1022,Kent Haruf
1023,John Irving
1024,John Berendt
1025,George Carlin
1026,Anna Quindlen
1027,Janet Evanovich
1028,James A. Michener
1029,Alice Hoffman
1030,C. S. Lewis
1031,Wilson Rawls
1032,Margaret Peterson Haddix
1033,Margaret Peterson Haddix
1034,Rudolfo Anaya
1035,Jose Saramago
1036,Donna Tartt
1037,Anne Tyler
1038,John Sandford
1039,Peter Straub
1040,Catherine Coulter
1041,Julia Quinn
1042,Dean R. Koontz
1043,Robin Cook
1044,Sonia Icilyn
1045,Jude Deveraux
1046,Richard Harris
1047,Susan Elizabeth Phillips
1048,Suzanne Forster
1049,Sandra Brown
1050,David Morrell
1051,Nora Roberts
1052,Jane Smiley
1053,James Patterson
1054,Lisa Gardner
1055,David Morrell
1056,Lincoln Child
1057,Stuart Woods
1058,Dean Koontz
1059,Jonathan Kellerman
1060,Robin Cook
1061,James Patterson
1062,Connie Willis
1063,Matthew Reilly
1064,Michael Darkow
1065,Greg Iles
1066,James Reese
1067,Catharina Day
1068,Malika Oufkir
1069,Stephen King
1070,John Keegan
1071,L. E. Modesitt Jr.
1072,Anne Rice
1073,Nien Cheng
1074,Annie Dillard
1075,Antonio Skarmeta
1076,Ernest Hemingway
1077,Alice Borchardt
1078,Alice Borchardt
1079,Donna Gillespie
1080,Ayn Rand
1081,Robert M. Pirsig
1082,J. D. Robb
1083,Albert Camus
1084,Anne Mccaffrey
1085,Alan Lightman
1086,Josephine Tey
1087,Tina Wainscott
1088,Stephen Wright
1089,Ursula K. Le Guin
1090,Stephen King
1091,Christine Angot
1092,Peter Jenkins
1093,Nelson Demille
1094,Karin Lowachee
1095,John Knowles
1096,Beverly Cleary
1097,Mary Norton
1098,Irene Hunt
1099,Louis Sachar
1100,Mildred D. Taylor
1101,Myla Goldberg
1102,Katherine Neville
1103,Kurt Vonnegut
1104,Toni Morrison
1105,Stephen King
1106,Linda Howard
1107,Lunn
1108,Karleen Bradford
1109,Tom Robbins
1110,Lisa Scottoline
1111,Shirley Jackson
1112,Silverberg
1113,Julie Reece Deaver
1114,Andre Norton
1115,A. S. Byatt
1116,Connie Willis
1117,Margaret Atwood
1118,Frank Mcdonald
1119,Molly Ivins
1120,Haruki Murakami
1121,J. R. R. Tolkien
1122,J. R. R. Tolkien
1123,J. R. R. Tolkien
1124,Deborah Moggach
1125,Sandra Cisneros
1126,Elinor Lipman
1127,Elinor Lipman
1128,Robert A. Heinlein
1129,Tad Williams
1130,Arthur C. Clarke
1131,Gary D. Chapman
1132,Steven Pressfield
1133,Mario Puzo
1134,Anne Rice
1135,William Gibson
1136,Barbara Kingsolver
1137,John Saul
1138,Corrie Ten Boom
1139,Susan Isaacs
1140,Nelson Demille
1141,Gayle Lynds
1142,Sidney Sheldon
1143,Spider Robinson
1144,Nora Roberts
1145,Lorenzo Carcaterra
1146,Lurlene Mcdaniel
1147,Richard Paul Evans
1148,Lurlene Mcdaniel
1149,Lurlene Mcdaniel
1150,Dermot Bolger
1151,Michael Pollan
1152,Agatha Christie
1153,Terry Pratchett
1154,Caleb Carr
1155,Margaret Atwood
1156,Margaret Atwood
1157,Beryl Bainbridge
1158,Kirsten Bakis
1159,Louisa May Alcott
1160,David Almond
1161,Jorge Amado
1162,Stephen Sondheim
1163,Thomas J. Stanley
1164,John Whitman
1165,Gary Paulsen
1166,Philip K. Dick
1167,Maeve Binchy
1168,Ken Follett
1169,Maeve Binchy
1170,Jeffrey Archer
1171,Charles  M. Schulz
1172,Nicole Luiken
1173,Alice Hoffman
1174,Paullina Simons
1175,Richard Lederer
1176,Carl Hiaasen
1177,Irvine Welsh
1178,Robert Poe
1179,Dennis Lehane
1180,Betsy Byars
1181,Madeleine L'Engle
1182,D.H. Lawrence
1183,Sharon Creech
1184,Kathy Cronkite
1185,Michael Ondaatje
1186,John Irving
1187,Jose Saramago
1188,Jose Saramago
1189,Jose Saramago
1190,Jose Saramago
1191,Irene Gut Opdyke
1192,Ahdaf Soueif
1193,Aleksandr Solzhenitsyn
1194,Clyde Edgerton
1195,Jimmy Buffett
1196,John D. Macdonald
1197,Blue Balliett
1198,Anne Rice
1199,Jack Schaefer
1200,Jan Karon
1201,Peter Straub
1202,Daniel Wallace
1203,John Howard Griffin
1204,Terri Blackstock
1205,Jorge Luis Borges
1206,Gabriel Garcia Marquez
1207,John Lescroart
1208,Charles Bukowski
1209,Donald E. Westlake
1210,Earlene Fowler
1211,Steven Paul Martini
1212,James Patterson
1213,James Lee Burke
1214,J. F. Freedman
1215,Elizabeth George
1216,Storm Constantine
1217,Ali Smith
1218,James Herbert
1219,Maya Angelou
1220,Nancy Geary
1221,Tami Hoag
1222,Michael Crichton
1223,Charles De Lint
1224,Mary Wollstonecraft Shelley
1225,Peter Benchley
1226,Katherine Dunn
1227,Larry Mcmurtry
1228,Napoleon Hill
1229,Mikhail Bulgakov
1230,Adriana Trigiani
1231,Thomas Robbins
1232,Peter Hoeg
1233,Alexander Mccall Smith
1234,Marian Keyes
1235,Anne Rice
1236,Sidney Sheldon
1237,V.C. Andrews
1238,Wendy Northcutt
1239,Piers Anthony
1240,Christopher Pike
1241,Antoine De Saint-Exupery
1242,Agatha Christie
1243,Charlotte Vale Allen
1244,Mark Childress
1245,Anna Quindlen
1246,Larry King
1247,Antonio Tabucchi
1248,Billie Sue Mosiman
1249,Stephen King
1250,Marge Piercy
1251,H. P. Lovecraft
1252,Dean Koontz
1253,Dean R. Koontz
1254,Bret Easton Ellis
1255,Joyce Carol Oates
1256,Carol Smith
1257,James Patterson
1258,Christopher Moore
1259,Mary Brown
1260,Gina B. Nahai
1261,Tad Williams
1262,Susan Vreeland
1263,Lorna Landvik
1264,Lorna Landvik
1265,Sue Townsend
1266,Tom Clancy
1267,Ann Brashares
1268,John Kennedy Toole
1269,Peter S. Beagle
1270,Wilbur Smith
1271,Len Deighton
1272,John Saul
1273,P.D. James
1274,Julie Garwood
1275,Katherine Neville
1276,Lois Henderson
1277,Milan Kundera
1278,Kent Haruf
